land,tool,charge_time_land,price,price_USDT,charge_time,cpu,wax_stake_peracc,wax_total_cost_peracc,tlm_peracc_daily,accounts,wax_net_monthly,USD_net_monthly,ROI_tool_each_acc,percent_interest_monthly,interval_new_acc,score
Dunes,Gasrigged Extractor,1.5,210.0,25.2,1620.0,17.0,204.0,834.0,7.6,4.1,196.0,24.0,310.0,5.7,128.0,0.7935757991574836
Sandy Coastline,Gasrigged Extractor,1.5,210.0,25.2,1620.0,17.0,204.0,834.0,7.6,4.1,196.0,24.0,310.0,5.7,128.0,0.7935757991574836
Small Island,Power Extractor,2.1,172.0,20.7,1134.0,24.0,288.0,804.0,6.9,4.3,185.0,22.0,280.0,5.4,130.0,0.7894929299010098
Dormant Volcano,Power Saw,2.5,215.0,25.8,1800.0,15.0,180.0,825.0,7.4,4.2,195.0,23.0,326.0,5.7,127.0,0.7888895596652248
Tree Forest,Standard Drill,1.3,50.9,6.1,312.0,89.0,1068.0,1220.7,8.2,2.8,145.0,17.0,70.0,4.2,253.0,0.7886492836174804
Inland River,Power Saw,1.5,215.0,25.8,1080.0,26.0,312.0,957.0,8.3,3.6,190.0,23.0,291.0,5.5,151.0,0.7884010394264522
Mountains,Infused Extractor,3.0,257.0,30.9,2160.0,13.0,156.0,927.0,8.5,3.7,200.0,24.0,340.0,5.8,139.0,0.7877949933216539
Grass Coastline,Gasrigged Extractor,1.1,210.0,25.2,1188.0,23.0,276.0,906.0,7.9,3.8,190.0,23.0,299.0,5.5,143.0,0.786803446519289
Grassland,Power Extractor,1.0,172.0,20.7,540.0,51.0,612.0,1128.0,8.8,3.1,174.0,21.0,219.0,5.0,194.0,0.7842335079396856
Grassland,Gasrigged Extractor,1.0,210.0,25.2,1080.0,26.0,312.0,942.0,8.0,3.7,187.0,22.0,295.0,5.4,151.0,0.7829189143730411
Mountains,Gasrigged Extractor,3.0,210.0,25.2,3240.0,9.0,108.0,738.0,6.7,4.7,195.0,23.0,352.0,5.7,114.0,0.7824051361960696
Rocky Desert,Gasrigged Extractor,2.0,210.0,25.2,2160.0,13.0,156.0,786.0,7.0,4.4,192.0,23.0,337.0,5.6,123.0,0.7817113300824592
Sandy Desert,Power Extractor,1.2,172.0,20.7,648.0,43.0,516.0,1032.0,8.2,3.3,171.0,21.0,236.0,5.0,181.0,0.7804410086978486
Mushroom Forest,Power Extractor,2.0,172.0,20.7,1080.0,26.0,312.0,828.0,6.9,4.2,180.0,22.0,280.0,5.2,138.0,0.7801262727013507
Sandy Desert,Infused Extractor,1.2,257.0,30.9,864.0,32.0,384.0,1155.0,9.7,3.0,187.0,22.0,298.0,5.4,185.0,0.7786418846272882
Tree Forest,Power Saw,1.3,215.0,25.8,936.0,30.0,360.0,1005.0,8.2,3.4,177.0,21.0,294.0,5.1,170.0,0.7684722062157747
Sandy Desert,Gasrigged Extractor,1.2,210.0,25.2,1296.0,21.0,252.0,882.0,7.4,3.9,181.0,22.0,319.0,5.2,146.0,0.7676660390880752
Icy Mountains,ExoGloves,2.0,18.0,2.2,160.0,173.0,2076.0,2130.0,12.6,1.6,132.0,16.0,16.0,3.8,484.0,0.7646957451983725
Dunes,Power Saw,1.5,215.0,25.8,1080.0,26.0,312.0,957.0,7.7,3.6,175.0,21.0,314.0,5.1,164.0,0.7630865738484631
Sandy Coastline,Power Saw,1.5,215.0,25.8,1080.0,26.0,312.0,957.0,7.7,3.6,175.0,21.0,314.0,5.1,164.0,0.7630865738484631
Small Island,Infused Extractor,2.1,257.0,30.9,1512.0,18.0,216.0,987.0,8.3,3.5,184.0,22.0,348.0,5.3,161.0,0.7617867216300545
Icy Desert,Basic Explosive,1.7,265.0,31.8,4080.0,7.0,84.0,879.0,7.7,3.9,189.0,23.0,386.0,5.5,140.0,0.7610797230574677
Mushroom Forest,Infused Extractor,2.0,257.0,30.9,1440.0,19.0,228.0,999.0,8.2,3.5,182.0,22.0,352.0,5.3,165.0,0.7601926965482422
Rocky Desert,Power Saw,2.0,215.0,25.8,1440.0,19.0,228.0,873.0,7.1,4.0,177.0,21.0,340.0,5.1,148.0,0.7569003611148943
Methane Swampland,Infused Extractor,3.5,257.0,30.9,2520.0,11.0,132.0,903.0,7.7,3.8,184.0,22.0,375.0,5.3,147.0,0.7551025990475039
Rocky Coastline,ExoGloves,2.0,18.0,2.2,160.0,173.0,2076.0,2130.0,11.9,1.6,124.0,15.0,17.0,3.6,515.0,0.7527437030006261
Grass Coastline,Power Saw,1.1,215.0,25.8,792.0000000000001,35.0,420.0,1065.0,8.1,3.2,164.0,20.0,298.0,4.8,195.0,0.7519335631277142
Icy Mountains,Advanced TD,2.0,360.0,43.2,320.0,87.0,1044.0,2124.0,15.8,1.6,168.0,20.0,256.0,4.9,379.0,0.750491332024942
Grass Coastline,Standard Drill,1.1,50.9,6.1,264.0,105.0,1260.0,1412.7,8.0,2.4,121.0,15.0,71.0,3.5,350.0,0.7487080338082599
Geothermal Springs,Advanced TD,1.5,360.0,43.2,240.0,116.0,1392.0,2472.0,17.6,1.4,164.0,20.0,230.0,4.8,452.0,0.7467258264966532
Icy Desert,Advanced TD,1.7,360.0,43.2,272.0,102.0,1224.0,2304.0,16.5,1.5,164.0,20.0,245.0,4.8,421.0,0.7453207970521833
Sandy Desert,Standard Drill,1.2,50.9,6.1,288.0,96.0,1152.0,1304.7,7.3,2.6,119.0,14.0,78.0,3.4,329.0,0.7444160758281815
Inland River,Basic Explosive,1.5,265.0,31.8,3600.0,8.0,96.0,891.0,7.4,3.9,181.0,22.0,402.0,5.2,148.0,0.7426417085013066
Small Island,Gasrigged Extractor,2.1,210.0,25.2,2268.0,12.0,144.0,774.0,6.2,4.5,171.0,21.0,380.0,5.0,136.0,0.741843382094557
Icy Mountains,Basic Explosive,2.0,265.0,31.8,4800.0,6.0,72.0,867.0,7.2,4.0,180.0,22.0,413.0,5.2,144.0,0.7397491932042555
Dormant Volcano,Advanced TD,2.5,360.0,43.2,400.0,69.0,828.0,1908.0,13.9,1.8,165.0,20.0,291.0,4.8,347.0,0.7389179380348021
Icy Desert,ExoGloves,1.7,18.0,2.2,136.0,204.0,2448.0,2502.0,13.2,1.4,121.0,15.0,15.0,3.5,620.0,0.7386188183532334
Mountains,Power Saw,3.0,215.0,25.8,2160.0,13.0,156.0,801.0,6.4,4.3,170.0,20.0,377.0,4.9,141.0,0.7379579579919713
Grassland,Power Saw,1.0,215.0,25.8,720.0,38.0,456.0,1101.0,7.9,3.1,155.0,19.0,306.0,4.5,213.0,0.7348943343216587
Plains,Infused Extractor,0.7,257.0,30.9,503.99999999999994,55.0,660.0,1431.0,10.1,2.4,156.0,19.0,286.0,4.5,275.0,0.734713366291356
Tree Forest,Basic Explosive,1.3,265.0,31.8,3120.0,9.0,108.0,903.0,7.3,3.8,174.0,21.0,408.0,5.0,156.0,0.7314804351501021
Rocky Coastline,Advanced TD,2.0,360.0,43.2,320.0,87.0,1044.0,2124.0,14.9,1.6,158.0,19.0,271.0,4.6,403.0,0.7307619629042439
Mushroom Forest,Gasrigged Extractor,2.0,210.0,25.2,2160.0,13.0,156.0,786.0,6.1,4.4,164.0,20.0,387.0,4.8,144.0,0.7303830060514283
Plains,Gasrigged Extractor,0.7,210.0,25.2,756.0,37.0,444.0,1074.0,7.6,3.2,153.0,18.0,310.0,4.4,211.0,0.7296110164253052
Grass Coastline,Basic Explosive,1.1,265.0,31.8,2640.0,10.0,120.0,915.0,7.2,3.8,171.0,21.0,413.0,5.0,161.0,0.7294879037978368
Active Volcano,Power Extractor,5.0,172.0,20.7,2700.0,10.0,120.0,636.0,5.0,5.4,161.0,19.0,386.0,4.7,119.0,0.7288814839208588
Sandy Desert,Power Saw,1.2,215.0,25.8,864.0,32.0,384.0,1029.0,7.3,3.4,155.0,19.0,331.0,4.5,199.0,0.7288084171229566
Plains,Basic Trilium Detector,0.7,149.9,18.0,237.99999999999997,117.0,1404.0,1853.7,10.7,1.9,132.0,16.0,157.0,3.8,421.0,0.7287846910843725
Grassland,Standard Drill,1.0,50.9,6.1,240.0,116.0,1392.0,1544.7,7.9,2.2,110.0,13.0,72.0,3.2,421.0,0.7284941341836462
Rocky Desert,ExoGloves,2.0,18.0,2.2,160.0,173.0,2076.0,2130.0,10.6,1.6,110.0,13.0,19.0,3.2,581.0,0.7284420042910179
Methane Swampland,Gasrigged Extractor,3.5,210.0,25.2,3780.0,7.0,84.0,714.0,5.7,4.8,166.0,20.0,414.0,4.8,129.0,0.7237982870474065
Geothermal Springs,Large Capacitor,1.5,310.0,37.2,4320.0,7.0,84.0,1014.0,8.1,3.4,174.0,21.0,430.0,5.0,175.0,0.7230115079357214
Plains,Power Extractor,0.7,172.0,20.7,378.0,73.0,876.0,1392.0,8.4,2.5,133.0,16.0,230.0,3.9,314.0,0.7218720917622028
Rocky Coastline,Basic Explosive,2.0,265.0,31.8,4800.0,6.0,72.0,867.0,6.8,4.0,169.0,20.0,438.0,4.9,154.0,0.7184204472637187
Grassland,Basic Explosive,1.0,265.0,31.8,2400.0,12.0,144.0,939.0,7.1,3.7,164.0,20.0,419.0,4.8,172.0,0.7180284197110457
Small Island,ExoGloves,2.1,18.0,2.2,168.0,165.0,1980.0,2034.0,9.4,1.7,102.0,12.0,22.0,3.0,598.0,0.7172834068088265
Dunes,Basic Explosive,1.5,265.0,31.8,3600.0,8.0,96.0,891.0,6.9,3.9,167.0,20.0,431.0,4.8,160.0,0.715632030350301
Sandy Coastline,Basic Explosive,1.5,265.0,31.8,3600.0,8.0,96.0,891.0,6.9,3.9,167.0,20.0,431.0,4.8,160.0,0.715632030350301
